Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Pressure at the top of Mount Everest,Frequency of a radio wave,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Energy of a supernova,Charge of a capacitor,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Charge of a capacitor,Speed of sound,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Mass of a car,Magnetic field of a refrigerator magnet,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Diameter of a hydrogen atom,Frequency of a cosmic ray,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Pressure inside a hot air balloon,Magnetic field of Jupiter,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Frequency of visible light,Magnetic field of Jupiter,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Mass of an electron,Pressure inside a nuclear reactor,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Planck length,Magnetic field of a neodymium magnet,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Charge of a capacitor,Kinetic energy of a bullet,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,physics,None
Sound sleeper,Insomniac,True,True,Sleep quality,Sleep quality,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Light drinker,Heavy drinker,True,True,Alcohol consumption,Alcohol consumption,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
No mental illness,Severe mental illness,True,True,Mental health status,Mental health,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Lightly active,Very active,True,True,Physical activity level,Physical activity,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Excessive sun exposure,No sun exposure,True,True,Sun exposure,Sun exposure,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Genetic protection,Mild genetic predisposition,True,True,Genetic predisposition,Genetic predisposition,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Minimal sun exposure,Excessive sun exposure,True,True,Sun exposure,Sun exposure,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Low pollution,Minimal pollution,True,True,Environmental pollution,Air pollution,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Minimal pollution,No pollution,True,True,Environmental pollution,Environmental pollution,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Genetic protection,No genetic predisposition,True,True,Genetic predisposition,Genetic predisposition,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Limited sun exposure,Insomniac,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Non-smoker,Heavy drinker,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Social smoker,Severe mental illness,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Excessive sun exposure,Insomniac,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
High-protein,No sun exposure,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
High pollution,Mild genetic predisposition,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Moderate pollution,Excessive sun exposure,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
No pollution,Excessive sun exposure,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Moderate genetic predisposition,Minimal pollution,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
Limited sun exposure,No pollution,False,False,,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,health,None
silicon carbide,germanium,True,True,Type of substrate,substrate material,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
trace amount,moderate concentration,True,True,Doping concentration,concentration of impurities,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
boiling point of water,room temperature,True,False,Temperature of the furnace,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
fast spin,idle,True,True,Rotation speed of the wafer,Spin Speed,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
heartbeat,blink of an eye,True,False,Duration of the process,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
Blu-ray disc,CD,True,False,Thickness of the wafer,,mixtral-8x22b-instruct,lora_70b_en_v0_alt_v2,semiconductor manufacturing,None
