Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Student Quarter,Noise Pollution Hotspot,False,,,,llama3-70b,lora_70b_en_v1,urban studies,"false  NaN  NaN  The two texts do not describe the same causal variable.,  The first text refers to a specific area of a city where students live, while the second text refers to a location with high levels of noise pollution.,  Data Generation Model: gpt-3.5-turbo,  Domain: urban studies}  false  NaN  NaN  The two texts do not describe the same causal variable.,  The first text refers to a specific area of a city where students live, while the second text refers to a location with high levels of noise pollution.,  Data Generation Model: gpt-3.5-turbo,  Domain: urban studies}  false  NaN  NaN  The two texts do not describe the same causal variable.,  The first text refers to a specific area of a city where students live, while the second text refers to a location with high levels of noise pollution.,  Data Generation Model: gpt-3.5-t"
Retiree Enclave,Commercial Hub,False,True,,Urban Morphology,llama3-70b,lora_70b_en_v1,urban studies,
Toxic Waste Site,Lively Nightlife Scene,False,False,,,llama3-70b,lora_70b_en_v1,urban studies,
Waterway Access,Emergency Response Hub,False,False,,,llama3-70b,lora_70b_en_v1,urban studies,
Solenoid Coil,Bar Magnet,True,True,Magnetic Field,Magnetic Field,llama3-70b,lora_70b_en_v1,physics,
Fiberglass,Reflective Insulation,True,True,Thermal Insulator,Thermal Insulator,llama3-70b,lora_70b_en_v1,physics,
Fixed Axis,Ideal Rigid Body,True,,Kinematic Constraint,,llama3-70b,lora_70b_en_v1,physics,"1.0, true, ""Kinematic Constraint"", ""A kinematic constraint is a condition that restricts the motion of an object. It can be a fixed axis, an ideal rigid body, or a frictionless surface."", ""A fixed axis and an ideal rigid body are both kinematic constraints. A fixed axis is a constraint that restricts the motion of an object to a specific axis. An ideal rigid body is a constraint that assumes a body is perfectly rigid and does not deform under any force."", ""Data Generation Model"": ""llama3-70b"", ""Domain"": ""physics""}"
Styrofoam,Vacuum Flask,True,,Thermal Insulator,,llama3-70b,lora_70b_en_v1,physics,"3.5, ""Thermal Insulator"", true, ""Thermal Insulator"", ""Styrofoam and Vacuum Flask are both materials that are poor conductors of heat, meaning they are good at keeping things at a constant temperature."", ""Thermal Insulator"", ""Thermal Insulator"", true, ""Thermal Insulator"", ""Styrofoam and Vacuum Flask are both materials that are poor conductors of heat, meaning they are good at keeping things at a constant temperature."", ""Thermal Insulator"", ""Thermal Insulator"", true, ""Thermal Insulator"", ""Styrofoam and Vacuum Flask are both materials that are poor conductors of heat, meaning they are good at keeping things at a constant temperature."", ""Thermal Insulator"", ""Thermal Insulator"", true, ""Thermal Insulator"", ""Styrofoam and Vacuum Flask are both materials that are poor conductors of heat, meaning they are good at keeping things at a constant"
Vacuum Flask,Ceramic Fiber,True,,Thermal Insulator,,llama3-70b,lora_70b_en_v1,physics,"1. ""Thermal Insulator"", true, ""Thermal Insulator"", ""A material that reduces the flow of heat energy."", ""A material that reduces the flow of heat energy."", ""Thermal Insulator"", true, ""Thermal Insulator"", ""A material that reduces the flow of heat energy."", ""A material that reduces the flow of heat energy."", ""Thermal Insulator"", true, ""Thermal Insulator"", ""A material that reduces the flow of heat energy."", ""A material that reduces the flow of heat energy."", ""Thermal Insulator"", true, ""Thermal Insulator"", ""A material that reduces the flow of heat energy."", ""A material that reduces the flow of heat energy."", ""Thermal Insulator"", true, ""Thermal Insulator"", ""A material that reduces the flow of heat energy."", ""A material that reduces the flow of heat energy."", ""Thermal Insulator"", true, ""Thermal Insulator"", ""A material that"
Prism,Water,True,,Optical Medium,,llama3-70b,lora_70b_en_v1,physics,"1. ""Prism"", ""Water"", true, ""Optical Medium"", ""The material through which light passes."", ""The material through which light passes."", ""The property of a material that determines the direction of the velocity of light."", ""The property of a material that determines the direction of the velocity of light."", ""The direction of the velocity of light after it passes through a material."", ""The direction of the velocity of light after it passes through a material."", ""The bending of light as it passes from one material to another."", ""The bending of light as it passes from one material to another."", ""The minimum angle of incidence for which total internal reflection occurs."", ""The minimum angle of incidence for which total internal reflection occurs."", ""The angle of incidence that produces an angle of refraction of 90 degrees."", ""The angle of incidence that produces an angle of refraction of 90 degrees."", ""The property of a material that determines how much it bends light."", ""The property of"
Heat Engine,Refrigerator,True,True,Thermodynamic System,Thermodynamic System,llama3-70b,lora_70b_en_v1,physics,
X-Ray Tube,Laser Diode,True,True,Radiation Source,Radiation Source,llama3-70b,lora_70b_en_v1,physics,
Tidal Force,Gravitational Wave,True,,Gravitational Field,,llama3-70b,lora_70b_en_v1,physics,"1.0, true, ""Gravitational Field"", ""The force that causes an object to move in a curved path, and the ripples that travel through space and time, are both related to the gravitational field."", ""Gravitational Field"" Generation Model: gpt-3.5-turbo, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b"
Tidal Force,Black Hole,True,,Gravitational Field,,llama3-70b,lora_70b_en_v1,physics,"1.0, true, ""Gravitational Field"", ""Gravitational Field is the causal variable that connects Tidal Force and Black Hole. Tidal Force is a force exerted on an object due to the gravitational field of another object. Black Hole is a region in space where the gravitational pull is so strong that nothing, including light, can escape. Both are related to the gravitational field of an object."", ""Gravitational Field is the causal variable that connects Tidal Force and Black Hole. Tidal Force is a force exerted on an object due to the gravitational field of another object. Black Hole is a region in space where the gravitational pull is so strong that nothing, including light, can escape. Both are related to the gravitational field of an object."", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"
Vibrating Diaphragm,Bar Magnet,False,False,,,llama3-70b,lora_70b_en_v1,physics,
Prism,Reflective Insulation,False,,,,llama3-70b,lora_70b_en_v1,physics,"3. Data Generation Model ""llama3-8b"", ""mixtral-8x7b-instruct"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama3-8b"", ""mixtral-8x7b-instruct"", ""llama"
Air,Ideal Rigid Body,False,,,,llama3-70b,lora_70b_en_v1,physics,"false  NaN  NaN  Ideal Rigid Body and Air are not related to the same causal variable.  Ideal Rigid Body is a concept in physics that describes an object that does not deform under any force, while Air is a type of gas.  Data Generation Model: gpt-3.5-turbo, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8"
Gold Plating,Vacuum Flask,False,False,,,llama3-70b,lora_70b_en_v1,physics,
Gold Plating,Ideal Gas,False,,,,llama3-70b,lora_70b_en_v1,physics,"false, NaN, NaN,  Ideal Gas,  Gold Plating,  The texts do not describe the same causal variable.,  The texts do not describe the same causal variable.,  Data Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5-turbo,  Domain: physics,  Generation Model: gpt-3.5"
Guitar String,Ceramic Fiber,False,,,,llama3-70b,lora_70b_en_v1,physics,"{""Text1"": ""Guitar String"", ""Text2"": ""Ceramic Fiber"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""llama3-70b"", ""Domain"": ""physics""}  {""Text1"": ""Guitar String"", ""Text2"": ""Ceramic Fiber"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""llama3-70b"", ""Domain"": ""physics""}  {""Text1"": ""Guitar String"", ""Text2"": ""Ceramic Fiber"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""llama3-70b"", ""Domain"": ""physics""}  {""Text1"": ""Guitar String"", ""Text2"": ""Ceramic"
Laser Diode,Water,False,,,,llama3-70b,lora_70b_en_v1,physics,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo, Domain: physics
Data Generation Model: gpt-3.5-turbo"
Radio Wave,Refrigerator,False,,,,llama3-70b,lora_70b_en_v1,physics,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo, Domain: physics

Data Generation Model: gpt-3.5-turbo"
Ceramic Fiber,Laser Diode,False,,,,llama3-70b,lora_70b_en_v1,physics,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct"
Prism,Gravitational Wave,False,,,,llama3-70b,lora_70b_en_v1,physics,"false, NaN, NaN,  Gravitational Wave is a type of wave that is caused by the acceleration of massive objects, such as black holes or neutron stars. Prism is a transparent optical element with flat, polished surfaces that refract light. They do not share a common causal variable.  Data Generation Model: gpt-3.5-turbo, Mistral-7b-instruct, Mixtral-8x7b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b-instruct, Mixtral-8x22b"
Sleepwalker,Nap Lover,True,True,Sleep Pattern,Sleeping Pattern,llama3-70b,lora_70b_en_v1,health,
Athletic Build,Underweight,True,True,Body Mass Index,Body Mass Index,llama3-70b,lora_70b_en_v1,health,
Flexitarian,Omnivore,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v1,health,
Factory Worker,Office Worker,True,True,Occupational Hazards,Occupation,llama3-70b,lora_70b_en_v1,health,
Office Worker,Farmer,True,True,Occupational Hazards,Occupation,llama3-70b,lora_70b_en_v1,health,
Obese,Underweight,True,True,Body Mass Index,Body Mass Index,llama3-70b,lora_70b_en_v1,health,
Factory Worker,Construction Worker,True,,Occupational Hazards,,llama3-70b,lora_70b_en_v1,health,"8.0, true, ""Occupation"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3.5-turbo"", ""Data Generation Model: gpt-3."
Firefighter,Healthcare Professional,True,True,Occupational Hazards,Occupation,llama3-70b,lora_70b_en_v1,health,
Healthcare Professional,Factory Worker,True,True,Occupational Hazards,Occupation,llama3-70b,lora_70b_en_v1,health,
Vegetarian,Pescatarian,True,True,Diet Type,Diet,llama3-70b,lora_70b_en_v1,health,
Prescription Follower,Nap Lover,False,,,,llama3-70b,lora_70b_en_v1,health,"false, NaN, NaN,  NaN,  The two texts do not describe the same causal variable.,  The two texts are not similar.,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5"
Factory Worker,Underweight,False,,,,llama3-70b,lora_70b_en_v1,health,"false  NaN  NaN  The two texts do not describe the same causal variable.,  The two texts are not similar.,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare }{""Text1"": ""Factory Worker"", ""Text2"": ""Underweight"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""healthcare""}{""Text1"": ""Factory Worker"", ""Text2"": ""Underweight"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""healthcare""}{""Text1"": ""Factory Worker"", ""Text2"": ""Underweight"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"":"
Dose Adjuster,Omnivore,False,,,,llama3-70b,lora_70b_en_v1,health,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-tur"
Flexitarian,Mountain Dweller,False,,,,llama3-70b,lora_70b_en_v1,health,"false  NaN  NaN  Mountain Dweller is a lifestyle choice that involves living in the mountains. Flexitarian is a diet that primarily consists of vegetarian food but occasionally includes meat. They are not related.  Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo, Domain: health | Data Generation Model: gpt-3.5-turbo,"
Chain Smoker,Office Worker,False,False,,,llama3-70b,lora_70b_en_v1,health,
Non Smoker,Farmer,False,,,,llama3-70b,lora_70b_en_v1,health,"false  NaN  NaN  The two texts do not describe the same causal variable.,  The first text describes a person who does not smoke, while the second text describes a person who works in agriculture.,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare }{""Text1"": ""Non Smoker"", ""Text2"": ""Farmer"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""healthcare""}{""Text1"": ""Non Smoker"", ""Text2"": ""Farmer"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""healthcare""}{""Text1"": ""Non Smoker"", ""Text2"": """
Prescription Follower,Underweight,False,,,,llama3-70b,lora_70b_en_v1,health,"false  NaN  NaN  The two texts do not describe the same causal variable.,  The first text refers to a person who takes a prescription medication as directed by a healthcare provider. The second text refers to a person whose body mass index (BMI) is below 18.5, indicating they are underweight. These two concepts are not related to the same causal variable.,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model: gpt-3.5-turbo,  Domain: healthcare,  Data Generation Model"
Healthy Family,Construction Worker,False,,,,llama3-70b,lora_70b_en_v1,health,"{""Text1"": ""Healthy Family"", ""Text2"": ""Construction Worker"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""health""}  {""Text1"": ""Healthy Family"", ""Text2"": ""Construction Worker"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""health""}  {""Text1"": ""Healthy Family"", ""Text2"": ""Construction Worker"", ""Predicted Same Causal Variable"": false, ""Predicted Variable Name"": NaN, ""Explanation"": """", ""Data Generation Model"": ""gpt-3.5-turbo"", ""Domain"": ""health""}  {""Text1"": ""Healthy Family"", ""Text2"": ""Construction Worker"", """
Light Sleeper,Healthcare Professional,False,,,,llama3-70b,lora_70b_en_v1,health,"false, NaN, NaN,  Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo, Domain: healthcare, Data Generation Model: gpt-3.5-turbo"
Desert Resident,Factory Worker,False,False,,,llama3-70b,lora_70b_en_v1,health,
Deep Ultraviolet,Extreme Ultraviolet,True,True,Lithography Wavelength,Lithography Generation,llama3-70b,lora_70b_en_v1,semiconductor manufacturing,
Silicon Carbide,Silicon on Insulator,True,,Type of Wafer Material,,llama3-70b,lora_70b_en_v1,semiconductor manufacturing,1. Silicon Carbide 2. Silicon on Insulator 3. True 4. Semiconductor Material 5. The property of a material that determines its ability to conduct electricity. 6. The property of a material that determines its ability to conduct electricity. 7. True 8. Semiconductor Material 9. The property of a material that determines its ability to conduct electricity. 10. True 11. Semiconductor Material 12. The property of a material that determines its ability to conduct electricity. 13. True 14. Semiconductor Material 15. The property of a material that determines its ability to conduct electricity. 16. True 17. Semiconductor Material 18. The property of a material that determines its ability to conduct electricity. 19. True 20. Semiconductor Material 21. The property of a material that determines its ability to conduct electricity. 22. True 23. Semiconductor Material 24. The property of a material that determines its ability to
High-K Dielectric,Silicon Nitride,True,,Dielectric Material Used,,llama3-70b,lora_70b_en_v1,semiconductor manufacturing,"1. ""Gate Dielectric"", ""High-K Dielectric"", true, ""Gate Dielectric"", ""The gate dielectric is the insulating material between the gate electrode and the semiconductor substrate in a MOSFET. High-K Dielectric and Silicon Nitride are both used as gate dielectrics in semiconductor manufacturing."", ""The gate dielectric is the insulating material between the gate electrode and the semiconductor substrate in a MOSFET. High-K Dielectric and Silicon Nitride are both used as gate dielectrics in semiconductor manufacturing."", false, ""Gate Dielectric"", ""The gate dielectric is the insulating material between the gate electrode and the semiconductor substrate in a MOSFET. High-K Dielectric and Silicon Nitride are both used as gate dielectrics in semiconductor manufacturing."", ""The gate dielectric is the insulating material between the gate electrode and the semiconductor substrate in a MOSFET. High-K Dielectric and Silicon Nitride are both used as gate dielectrics in"
Flip Chip,System-in-Package,True,True,Packaging Technology,Packaging Technology,llama3-70b,lora_70b_en_v1,semiconductor manufacturing,
Nanowire,Gate-All-Around,True,True,Pattern of Transistor Gate,Transistor Structure,llama3-70b,lora_70b_en_v1,semiconductor manufacturing,
