Text1,Text2,Same Causal Variable,Variable Name,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Prescription Follower,Underweight,False,,llama3-70b,health,0.212
Healthy Family,Construction Worker,False,,llama3-70b,health,0.161
Light Sleeper,Healthcare Professional,False,,llama3-70b,health,0.216
Desert Resident,Factory Worker,False,,llama3-70b,health,0.256
Deep Ultraviolet,Extreme Ultraviolet,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing,0.75
Silicon Carbide,Silicon on Insulator,True,Type of Wafer Material,llama3-70b,semiconductor manufacturing,0.593
High-K Dielectric,Silicon Nitride,True,Dielectric Material Used,llama3-70b,semiconductor manufacturing,0.407
Flip Chip,System-in-Package,True,Packaging Technology,llama3-70b,semiconductor manufacturing,0.419
Nanowire,Gate-All-Around,True,Pattern of Transistor Gate,llama3-70b,semiconductor manufacturing,0.294
Silicon Dioxide,Low-K Dielectric,True,Dielectric Material Used,llama3-70b,semiconductor manufacturing,0.349
Gold,Tungsten,True,Type of Interconnect Metal,llama3-70b,semiconductor manufacturing,0.377
Low-K Dielectric,High-K Dielectric,True,Dielectric Material Used,llama3-70b,semiconductor manufacturing,0.833
Dry Etching,Plasma Etching,True,Type of Etching Process,llama3-70b,semiconductor manufacturing,0.724
KrF Excimer Laser,Argon Fluoride,True,Lithography Wavelength,llama3-70b,semiconductor manufacturing,0.536
System-in-Package,Extreme Ultraviolet,False,,llama3-70b,semiconductor manufacturing,0.198
Wet Etching,Silicon on Insulator,False,,llama3-70b,semiconductor manufacturing,0.354
Wire Bonding,Silicon Dioxide,False,,llama3-70b,semiconductor manufacturing,0.265
Chemical Vapor Deposition,Silicon Nitride,False,,llama3-70b,semiconductor manufacturing,0.408
Deep Ultraviolet,System-in-Package,False,,llama3-70b,semiconductor manufacturing,0.193
Copper,Gate-All-Around,False,,llama3-70b,semiconductor manufacturing,0.143
Class 1000,High-K Dielectric,False,,llama3-70b,semiconductor manufacturing,0.293
Bulk Silicon,Low-K Dielectric,False,,llama3-70b,semiconductor manufacturing,0.342
Copper,Plasma Etching,False,,llama3-70b,semiconductor manufacturing,0.228
Argon Fluoride,Reactive Ion Etching,False,,llama3-70b,semiconductor manufacturing,0.371
Denial of Service Attack,Ransomware Malware,True,Cybersecurity Threat,llama3-70b,computer science,0.37
Queue Data Type,Graph Theory Application,True,Data Structure,llama3-70b,computer science,0.219
Linear Time Complexity,Logarithmic Space Complexity,True,Computational Complexity,llama3-70b,computer science,0.572
Lean Software Development,Agile Project Management,True,Software Development Methodology,llama3-70b,computer science,0.563
Graph Theory Application,Tree Traversal Algorithm,True,Data Structure,llama3-70b,computer science,0.427
Linked List Implementation,Graph Theory Application,True,Data Structure,llama3-70b,computer science,0.262
Stack Overflow Handling,Tree Traversal Algorithm,True,Data Structure,llama3-70b,computer science,0.216
SQL Injection Attack,Denial of Service Attack,True,Cybersecurity Threat,llama3-70b,computer science,0.463
Harvard Architecture,Cache Memory Hierarchy,True,Computer Architecture,llama3-70b,computer science,0.408
Cache Memory Hierarchy,Von Neumann Architecture,True,Computer Architecture,llama3-70b,computer science,0.389
Deep Learning Neural Network,Graph Theory Application,False,,llama3-70b,computer science,0.278
Graph Theory Application,Logarithmic Space Complexity,False,,llama3-70b,computer science,0.259
RISC Instruction Set,Agile Project Management,False,,llama3-70b,computer science,0.122
RISC Instruction Set,Tree Traversal Algorithm,False,,llama3-70b,computer science,0.148
SMTP Email Protocol,Polynomial Time Algorithm,False,,llama3-70b,computer science,0.151
Cloud-Based Database,Graph Theory Application,False,,llama3-70b,computer science,0.193
Linear Time Complexity,Tree Traversal Algorithm,False,,llama3-70b,computer science,0.391
Deep Learning Neural Network,Denial of Service Attack,False,,llama3-70b,computer science,0.177
Augmented Reality Interface,Cache Memory Hierarchy,False,,llama3-70b,computer science,0.207
Python Syntax,Von Neumann Architecture,False,,llama3-70b,computer science,0.13
Couch Potato,Outdoor Adventurer,True,Leisure Activity,llama3-70b,sociology,0.29
Entrepreneur,Blue Collar Worker,True,Occupational Status,llama3-70b,sociology,0.283
Nuclear Family,Extended Family,True,Family Structure,llama3-70b,sociology,0.556
Sports Enthusiast,Outdoor Adventurer,True,Leisure Activity,llama3-70b,sociology,0.45
Ethnic Minority,Immigrant Community,True,Cultural Identity,llama3-70b,sociology,0.459
Close-Knit Community,Loose Acquaintances,True,Social Network,llama3-70b,sociology,0.326
Long-Term Resident,Recent Migrant,True,Residential Mobility,llama3-70b,sociology,0.408
Single Parent Household,Nuclear Family,True,Family Structure,llama3-70b,sociology,0.539
Bachelor's Degree,Master's Degree,True,Education Level,llama3-70b,sociology,0.696
Online Network,Isolated Individual,True,Social Network,llama3-70b,sociology,0.276
Counterculture,Outdoor Adventurer,False,,llama3-70b,sociology,0.208
Isolated Individual,Extended Family,False,,llama3-70b,sociology,0.325
Unemployed,Outdoor Adventurer,False,,llama3-70b,sociology,0.252
Artistic Pursuits,Poverty Line,False,,llama3-70b,sociology,0.108
Socialist,Immigrant Community,False,,llama3-70b,sociology,0.221
White Collar Worker,Recent Migrant,False,,llama3-70b,sociology,0.259
Socialist,Couch Potato,False,,llama3-70b,sociology,0.257
Suburban Area,Nuclear Family,False,,llama3-70b,sociology,0.279
Frequent Mover,Single Parent Household,False,,llama3-70b,sociology,0.24
Isolated Individual,Entrepreneur,False,,llama3-70b,sociology,0.293
Introverted Thinker,Intuitive Perceiver,True,Personality Type,llama3-70b,psychology,0.577
Extrinsically Motivated,Achievement-Oriented,True,Motivation,llama3-70b,psychology,0.473
Avoidantly Attached,Securely Attached,True,Attachment Style,llama3-70b,psychology,0.674
Setback Recoverer,Crisis Handler,True,Resilience,llama3-70b,psychology,0.382
Emotional Suppressor,Emotional Expresser,True,Emotional Regulation,llama3-70b,psychology,0.631
Rationalizer,Suppressor,True,Coping Mechanism,llama3-70b,psychology,0.366
Auditory Learner,Visual Learner,True,Learning Style,llama3-70b,psychology,0.653
Self-Doubter,Overachiever,True,Self-Esteem,llama3-70b,psychology,0.429
Reading-Writing Learner,Kinesthetic Learner,True,Learning Style,llama3-70b,psychology,0.51
Intrinsically Motivated,Socially Driven,True,Motivation,llama3-70b,psychology,0.373
Crisis Handler,Insecure Person,False,,llama3-70b,psychology,0.316
Large Family Circle,Intuitive Perceiver,False,,llama3-70b,psychology,0.182
Emotional Avoider,Achievement-Oriented,False,,llama3-70b,psychology,0.299
Fear-Driven,Crisis Handler,False,,llama3-70b,psychology,0.303
Close-Knit Friend Group,Emotional Expresser,False,,llama3-70b,psychology,0.24
Intrinsically Motivated,Crisis Handler,False,,llama3-70b,psychology,0.106
Setback Recoverer,Visual Learner,False,,llama3-70b,psychology,0.17
Large Family Circle,Securely Attached,False,,llama3-70b,psychology,0.287
Introverted Thinker,Overachiever,False,,llama3-70b,psychology,0.333
Introverted Thinker,Kinesthetic Learner,False,,llama3-70b,psychology,0.355
Bullish Trend,Bearish Trend,True,Market Sentiment,llama3-70b,finance,0.812
Bearish Trend,Market Volatility,True,Market Sentiment,llama3-70b,finance,0.41
Bearish Trend,Economic Uncertainty,True,Market Sentiment,llama3-70b,finance,0.359
Market Penetration,Cost Leadership Strategy,True,Growth Strategy,llama3-70b,finance,0.388
Retail Business,Technology Sector,True,Industry Type,llama3-70b,finance,0.378
Low Debt Ratio,High Debt Ratio,True,Financial Leverage,llama3-70b,finance,0.83
Turnaround Expertise,Seasoned Leadership,True,Management Experience,llama3-70b,finance,0.452
Manufacturing Firm,Technology Sector,True,Industry Type,llama3-70b,finance,0.392
Economic Boom,Stagflation,True,Macroeconomic Conditions,llama3-70b,finance,0.412
Inflationary Pressure,Stagflation,True,Macroeconomic Conditions,llama3-70b,finance,0.499
Cost Leadership Strategy,Developed Economy,False,,llama3-70b,finance,0.201
Cost Leadership Strategy,Duopoly Market,False,,llama3-70b,finance,0.304
Small Cap,Bearish Trend,False,,llama3-70b,finance,0.327
Organic Growth,Bearish Trend,False,,llama3-70b,finance,0.204
Deflationary Environment,Market Volatility,False,,llama3-70b,finance,0.412
Industry-Specific Laws,Cost Leadership Strategy,False,,llama3-70b,finance,0.161
Trade Agreements,Technology Sector,False,,llama3-70b,finance,0.244
Family Owned Business,High Debt Ratio,False,,llama3-70b,finance,0.194
Bearish Trend,Technology Sector,False,,llama3-70b,finance,0.237
Large Cap,Technology Sector,False,,llama3-70b,finance,0.364
minimal sustainability efforts,leading sustainability practices,True,Environmental Sustainability,mixtral-8x22b-instruct,urban studies,0.52
limited natural features,barren landscape,True,Natural Landscape,mixtral-8x22b-instruct,urban studies,0.449
apartment complexes,townhouses,True,Housing Types,mixtral-8x22b-instruct,urban studies,0.521
megacity,urban core,True,Population Density,mixtral-8x22b-instruct,urban studies,0.495
megacity,high-rise district,True,Population Density,mixtral-8x22b-instruct,urban studies,0.39
airport hub,bike lanes,True,Transportation Infrastructure,mixtral-8x22b-instruct,urban studies,0.244
limited cultural diversity,moderate cultural diversity,True,Cultural Diversity,mixtral-8x22b-instruct,urban studies,0.745
world heritage site,moderate historical significance,True,Historical Significance,mixtral-8x22b-instruct,urban studies,0.238
moderate sustainability efforts,minimal sustainability efforts,True,Environmental Sustainability,mixtral-8x22b-instruct,urban studies,0.705
sparse settlements,high-rise district,True,Population Density,mixtral-8x22b-instruct,urban studies,0.295
sparse settlements,leading sustainability practices,False,,mixtral-8x22b-instruct,urban studies,0.192
no historical significance,barren landscape,False,,mixtral-8x22b-instruct,urban studies,0.239
minimal sustainability efforts,townhouses,False,,mixtral-8x22b-instruct,urban studies,0.168
industrial zone,urban core,False,,mixtral-8x22b-instruct,urban studies,0.439
public transit system,knowledge economy,False,,mixtral-8x22b-instruct,urban studies,0.156
pedestrian-friendly streets,high-rise district,False,,mixtral-8x22b-instruct,urban studies,0.32
limited cultural diversity,bike lanes,False,,mixtral-8x22b-instruct,urban studies,0.174
minimal sustainability efforts,high-rise district,False,,mixtral-8x22b-instruct,urban studies,0.149
basic public services,minimal sustainability efforts,False,,mixtral-8x22b-instruct,urban studies,0.39
world-class public services,high-rise district,False,,mixtral-8x22b-instruct,urban studies,0.251
Frequency of a gamma ray,Frequency of a radio wave,True,Frequency of a wave,mixtral-8x22b-instruct,physics,0.656
Absolute zero,Room temperature,True,Temperature of a gas,mixtral-8x22b-instruct,physics,0.468
Charge of a proton,Charge of a capacitor,True,Electric charge,mixtral-8x22b-instruct,physics,0.569
Magnetic field of Jupiter,Magnetic field of a refrigerator magnet,True,Magnetic field strength,mixtral-8x22b-instruct,physics,0.549
Frequency of visible light,Frequency of a cosmic ray,True,Frequency of a wave,mixtral-8x22b-instruct,physics,0.523
Magnetic field of a neutron star,Magnetic field of Jupiter,True,Magnetic field strength,mixtral-8x22b-instruct,physics,0.563
Magnetic field of Earth,Magnetic field of Jupiter,True,Magnetic field strength,mixtral-8x22b-instruct,physics,0.638
Magnetic field of Earth,Magnetic field of a neodymium magnet,True,Magnetic field strength,mixtral-8x22b-instruct,physics,0.658
Height of a human,Diameter of a hydrogen atom,True,Length of an object,mixtral-8x22b-instruct,physics,0.364
Lifespan of a mayfly,Age of the Universe,True,Time duration,mixtral-8x22b-instruct,physics,0.196
Pressure at the top of Mount Everest,Frequency of a radio wave,False,,mixtral-8x22b-instruct,physics,0.175
Energy of a supernova,Charge of a capacitor,False,,mixtral-8x22b-instruct,physics,0.269
Charge of a capacitor,Speed of sound,False,,mixtral-8x22b-instruct,physics,0.28
Mass of a car,Magnetic field of a refrigerator magnet,False,,mixtral-8x22b-instruct,physics,0.234
Diameter of a hydrogen atom,Frequency of a cosmic ray,False,,mixtral-8x22b-instruct,physics,0.3
Pressure inside a hot air balloon,Magnetic field of Jupiter,False,,mixtral-8x22b-instruct,physics,0.229
Frequency of visible light,Magnetic field of Jupiter,False,,mixtral-8x22b-instruct,physics,0.202
Mass of an electron,Pressure inside a nuclear reactor,False,,mixtral-8x22b-instruct,physics,0.196
Planck length,Magnetic field of a neodymium magnet,False,,mixtral-8x22b-instruct,physics,0.204
Charge of a capacitor,Kinetic energy of a bullet,False,,mixtral-8x22b-instruct,physics,0.25
Sound sleeper,Insomniac,True,Sleep quality,mixtral-8x22b-instruct,health,0.537
Light drinker,Heavy drinker,True,Alcohol consumption,mixtral-8x22b-instruct,health,0.714
No mental illness,Severe mental illness,True,Mental health status,mixtral-8x22b-instruct,health,0.572
Lightly active,Very active,True,Physical activity level,mixtral-8x22b-instruct,health,0.6
Excessive sun exposure,No sun exposure,True,Sun exposure,mixtral-8x22b-instruct,health,0.692
Genetic protection,Mild genetic predisposition,True,Genetic predisposition,mixtral-8x22b-instruct,health,0.473
Minimal sun exposure,Excessive sun exposure,True,Sun exposure,mixtral-8x22b-instruct,health,0.636
Low pollution,Minimal pollution,True,Environmental pollution,mixtral-8x22b-instruct,health,0.9
Minimal pollution,No pollution,True,Environmental pollution,mixtral-8x22b-instruct,health,0.839
Genetic protection,No genetic predisposition,True,Genetic predisposition,mixtral-8x22b-instruct,health,0.474
Limited sun exposure,Insomniac,False,,mixtral-8x22b-instruct,health,0.216
Non-smoker,Heavy drinker,False,,mixtral-8x22b-instruct,health,0.467
Social smoker,Severe mental illness,False,,mixtral-8x22b-instruct,health,0.201
Excessive sun exposure,Insomniac,False,,mixtral-8x22b-instruct,health,0.198
High-protein,No sun exposure,False,,mixtral-8x22b-instruct,health,0.199
High pollution,Mild genetic predisposition,False,,mixtral-8x22b-instruct,health,0.182
Moderate pollution,Excessive sun exposure,False,,mixtral-8x22b-instruct,health,0.253
No pollution,Excessive sun exposure,False,,mixtral-8x22b-instruct,health,0.163
Moderate genetic predisposition,Minimal pollution,False,,mixtral-8x22b-instruct,health,0.243
Limited sun exposure,No pollution,False,,mixtral-8x22b-instruct,health,0.295
silicon carbide,germanium,True,Type of substrate,mixtral-8x22b-instruct,semiconductor manufacturing,0.491
trace amount,moderate concentration,True,Doping concentration,mixtral-8x22b-instruct,semiconductor manufacturing,0.215
boiling point of water,room temperature,True,Temperature of the furnace,mixtral-8x22b-instruct,semiconductor manufacturing,0.366
fast spin,idle,True,Rotation speed of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing,0.284
heartbeat,blink of an eye,True,Duration of the process,mixtral-8x22b-instruct,semiconductor manufacturing,0.358
Blu-ray disc,CD,True,Thickness of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing,0.396
melting point of silicon,room temperature,True,Temperature of the furnace,mixtral-8x22b-instruct,semiconductor manufacturing,0.278
argon,hydrogen,True,Type of gas used,mixtral-8x22b-instruct,semiconductor manufacturing,0.427
flood,trickle,True,Flow rate of the gas,mixtral-8x22b-instruct,semiconductor manufacturing,0.387
credit card,paper thin,True,Thickness of the wafer,mixtral-8x22b-instruct,semiconductor manufacturing,0.247
fast spin,boiling point of silicon,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.127
stream,heartbeat,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.312
boiling point of silicon,germanium,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.347
oxygen,silicon,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.384
boiling point of water,heartbeat,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.139
phosphorus,moderate concentration,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.209
high concentration,room temperature,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.284
pressure in outer space,boiling point of water,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.252
maximum spin,moderate concentration,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.256
minute,CD,False,,mixtral-8x22b-instruct,semiconductor manufacturing,0.273
MariaDB,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science,0.39
Buddy,Jenkins,True,CI/CD Tool,mixtral-8x22b-instruct,computer science,0.276
Linux,Fedora,True,Operating System,mixtral-8x22b-instruct,computer science,0.416
Redis,Cassandra,True,Database Management System,mixtral-8x22b-instruct,computer science,0.382
Rancher,CoreOS,True,Containerization Platform,mixtral-8x22b-instruct,computer science,0.324
Laravel,Ruby on Rails,True,Web Framework,mixtral-8x22b-instruct,computer science,0.486
Django,React,True,Web Framework,mixtral-8x22b-instruct,computer science,0.29
ASP.NET,Flask,True,Web Framework,mixtral-8x22b-instruct,computer science,0.269
Oracle VM VirtualBox,Red Hat Virtualization,True,Virtualization Platform,mixtral-8x22b-instruct,computer science,0.519
Rackspace,Alibaba Cloud,True,Cloud Service Provider,mixtral-8x22b-instruct,computer science,0.471
Kubernetes,Cassandra,False,,mixtral-8x22b-instruct,computer science,0.318
Microsoft Hyper-V,CoreOS,False,,mixtral-8x22b-instruct,computer science,0.387
Fossil,Jenkins,False,,mixtral-8x22b-instruct,computer science,0.134
Express.js,Fedora,False,,mixtral-8x22b-instruct,computer science,0.175
Sublime Text,Cassandra,False,,mixtral-8x22b-instruct,computer science,0.234
CircleCI,Ruby on Rails,False,,mixtral-8x22b-instruct,computer science,0.365
Eclipse,React,False,,mixtral-8x22b-instruct,computer science,0.27
Visual Studio Code,Flask,False,,mixtral-8x22b-instruct,computer science,0.279
Citrix Hypervisor,Alibaba Cloud,False,,mixtral-8x22b-instruct,computer science,0.296
Rancher,GitLab CI,False,,mixtral-8x22b-instruct,computer science,0.234
Child,Senior citizen,True,Age,mixtral-8x22b-instruct,sociology,0.273
Lower-middle class,Below poverty line,True,Income level,mixtral-8x22b-instruct,sociology,0.484
Blue-collar worker,White-collar worker,True,Occupation,mixtral-8x22b-instruct,sociology,0.696
Libertarian,Anarchist,True,Political ideology,mixtral-8x22b-instruct,sociology,0.62
Rural area,Suburban area,True,Geographic location,mixtral-8x22b-instruct,sociology,0.651
Entrepreneur,Professional,True,Occupation,mixtral-8x22b-instruct,sociology,0.423
Nuclear family,Single individual,True,Family structure,mixtral-8x22b-instruct,sociology,0.362
Child,Middle-aged adult,True,Age,mixtral-8x22b-instruct,sociology,0.333
African American,Hispanic,True,Ethnicity,mixtral-8x22b-instruct,sociology,0.511
Upper class,Upper-middle class,True,Income level,mixtral-8x22b-instruct,sociology,0.771
Genderqueer,Senior citizen,False,,mixtral-8x22b-instruct,sociology,0.134
Primary school graduate,Below poverty line,False,,mixtral-8x22b-instruct,sociology,0.277
Libertarian,White-collar worker,False,,mixtral-8x22b-instruct,sociology,0.245
Extended family,Anarchist,False,,mixtral-8x22b-instruct,sociology,0.124
Master's degree holder,Suburban area,False,,mixtral-8x22b-instruct,sociology,0.18
Rural area,Professional,False,,mixtral-8x22b-instruct,sociology,0.223
Female,Single individual,False,,mixtral-8x22b-instruct,sociology,0.376
Single-parent household,Middle-aged adult,False,,mixtral-8x22b-instruct,sociology,0.3
Master's degree holder,Hispanic,False,,mixtral-8x22b-instruct,sociology,0.219
Master's degree holder,Below poverty line,False,,mixtral-8x22b-instruct,sociology,0.223
drive,initiative,True,Motivation,mixtral-8x22b-instruct,psychology,0.381
dutifulness,achievement-striving,True,Conscientiousness,mixtral-8x22b-instruct,psychology,0.285
self-worth,self-confidence,True,Self-Esteem,mixtral-8x22b-instruct,psychology,0.604
initiative,goal-directed behavior,True,Motivation,mixtral-8x22b-instruct,psychology,0.283
vulnerability,anger,True,Neuroticism,mixtral-8x22b-instruct,psychology,0.26
enthusiasm,excitement-seeking,True,Extraversion,mixtral-8x22b-instruct,psychology,0.442
intellectual curiosity,aesthetic sensitivity,True,Openness to Experience,mixtral-8x22b-instruct,psychology,0.324
activity level,gregariousness,True,Extraversion,mixtral-8x22b-instruct,psychology,0.231
persistence,drive,True,Motivation,mixtral-8x22b-instruct,psychology,0.331
orderliness,competence,True,Conscientiousness,mixtral-8x22b-instruct,psychology,0.318
stress tolerance,initiative,False,,mixtral-8x22b-instruct,psychology,0.169
perspective-taking,achievement-striving,False,,mixtral-8x22b-instruct,psychology,0.351
competence,self-confidence,False,,mixtral-8x22b-instruct,psychology,0.523
future-mindedness,goal-directed behavior,False,,mixtral-8x22b-instruct,psychology,0.391
aesthetic sensitivity,emotional regulation,False,,mixtral-8x22b-instruct,psychology,0.253
flexibility,anger,False,,mixtral-8x22b-instruct,psychology,0.188
future-mindedness,excitement-seeking,False,,mixtral-8x22b-instruct,psychology,0.313
creativity,gregariousness,False,,mixtral-8x22b-instruct,psychology,0.248
activity level,drive,False,,mixtral-8x22b-instruct,psychology,0.299
self-worth,competence,False,,mixtral-8x22b-instruct,psychology,0.382
bear market,bull market,True,Stock Market Performance,mixtral-8x22b-instruct,finance,0.729
stable rates,negative rates,True,Interest Rates,mixtral-8x22b-instruct,finance,0.553
market rally,bull market,True,Stock Market Performance,mixtral-8x22b-instruct,finance,0.734
quantitative easing,restrictive policy,True,Monetary Policy,mixtral-8x22b-instruct,finance,0.288
accommodative policy,neutral policy,True,Monetary Policy,mixtral-8x22b-instruct,finance,0.498
appreciation,stable exchange rate,True,Currency Exchange Rates,mixtral-8x22b-instruct,finance,0.244
severe unemployment,low unemployment,True,Unemployment Rate,mixtral-8x22b-instruct,finance,0.619
low confidence,rising confidence,True,Consumer Confidence,mixtral-8x22b-instruct,finance,0.625
deflation,creeping inflation,True,Inflation,mixtral-8x22b-instruct,finance,0.427
full employment,severe unemployment,True,Unemployment Rate,mixtral-8x22b-instruct,finance,0.522
appreciation,bull market,False,,mixtral-8x22b-instruct,finance,0.245
restrictive policy,negative rates,False,,mixtral-8x22b-instruct,finance,0.342
market rally,severe unemployment,False,,mixtral-8x22b-instruct,finance,0.19
balanced budget,bull market,False,,mixtral-8x22b-instruct,finance,0.258
stable exchange rate,restrictive policy,False,,mixtral-8x22b-instruct,finance,0.354
declining confidence,neutral policy,False,,mixtral-8x22b-instruct,finance,0.244
bankruptcy,recession,False,,mixtral-8x22b-instruct,finance,0.413
fiscal deficit,tightening,False,,mixtral-8x22b-instruct,finance,0.173
market crash,rising rates,False,,mixtral-8x22b-instruct,finance,0.361
hyperinflation,low unemployment,False,,mixtral-8x22b-instruct,finance,0.318
Tech startups hub,Manufacturing district,True,Economic activity,gpt-3.5-turbo,urban studies,0.308
Community parks,Botanical gardens,True,Green space availability,gpt-3.5-turbo,urban studies,0.385
Mobile medical units,State-of-the-art hospitals,True,Healthcare access,gpt-3.5-turbo,urban studies,0.393
Financial services center,Manufacturing district,True,Economic activity,gpt-3.5-turbo,urban studies,0.288
High burglary areas,Low crime neighborhoods,True,Crime rate,gpt-3.5-turbo,urban studies,0.575
International cuisine restaurants,Multicultural festivals,True,Cultural diversity,gpt-3.5-turbo,urban studies,0.436
Suburban neighborhoods with single-family homes,Sparse residential areas,True,Population density,gpt-3.5-turbo,urban studies,0.478
Mixed-use developments,Revitalization of waterfront areas,True,Urban renewal projects,gpt-3.5-turbo,urban studies,0.464
Multicultural festivals,Ethnic enclaves,True,Cultural diversity,gpt-3.5-turbo,urban studies,0.408
Community health clinics,State-of-the-art hospitals,True,Healthcare access,gpt-3.5-turbo,urban studies,0.41
Luxury condominiums,Manufacturing district,False,,gpt-3.5-turbo,urban studies,0.288
Mixed-use developments,Botanical gardens,False,,gpt-3.5-turbo,urban studies,0.207
Community health clinics,Historic preservation initiatives,False,,gpt-3.5-turbo,urban studies,0.237
Historic preservation initiatives,State-of-the-art hospitals,False,,gpt-3.5-turbo,urban studies,0.207
Violent crime hotspots,Manufacturing district,False,,gpt-3.5-turbo,urban studies,0.203
Tech startups hub,Low crime neighborhoods,False,,gpt-3.5-turbo,urban studies,0.218
Urban core with high-rise buildings,International cuisine restaurants,False,,gpt-3.5-turbo,urban studies,0.229
