Text1,Text2,Same Causal Variable,domain
demonstration,protest,True,wiki_causal
mass shooting,energy crisis,False,wiki_causal
demonstration,dissents,True,wiki_causal
outbreak,fraud,False,wiki_causal
power conflict,protest movements,True,wiki_causal
economic crisis,dissent,False,wiki_causal
natural calamity,natural disaster,True,wiki_causal
fraud,economic crisis,False,wiki_causal
natural calamity,natural hazard,True,wiki_causal
bomb attack,energy crisis,False,wiki_causal
natural disaster,natural hazard,True,wiki_causal
energy crisis,social problems,False,wiki_causal
calamity,catastrophe,True,wiki_causal
air accident,incendiarism,False,wiki_causal
calamity,disasters,True,wiki_causal
volcanic eruption,military conflict,False,wiki_causal
catastrophe,disasters,True,wiki_causal
offence,"Communicable Diseases, Emerging",False,wiki_causal
social ill,social problems,True,wiki_causal
statutory law,ID,False,wiki_causal
social ill,social problem,True,wiki_causal
military conflict,change of regime,False,wiki_causal
social issue,social problem,True,wiki_causal
juloos,infection,False,wiki_causal
crime,criminal offense,True,wiki_causal
"Communicable Diseases, Emerging",change of political regime,False,wiki_causal
hoodlum,offence,True,wiki_causal
excess demand,statute law,False,wiki_causal
crime,criminal offence,True,wiki_causal
homicide,epidemic,False,wiki_causal
murder 2,murders,True,wiki_causal
quake,occupational accident,False,wiki_causal
murder,murder two,True,wiki_causal
offence,demand surplus,False,wiki_causal
aggravated murder [Illinois],murders,True,wiki_causal
ID,school shooting,False,wiki_causal
homicide,murder,True,wiki_causal
risk factor,disease outbreak,False,wiki_causal
burst,explosion,True,wiki_causal
statute law,street protest,False,wiki_causal
bang,blast,True,wiki_causal
hazard,murders,False,wiki_causal
boom,explosion,True,wiki_causal
demonstrations,economic shortage,False,wiki_causal
conflict,dispute,True,wiki_causal
incendiarism,outbreak,False,wiki_causal
conflict (psychological),psychological conflict,True,wiki_causal
disease outbreak,mass shooting,False,wiki_causal
"conflict, psychological",psychological conflict,True,wiki_causal
